lang,code,files,comments
Java,64143,1091,42846
Plain Text,45304,536,0
HTML,34905,268,1341
CSS,27883,96,3347
JavaScript,24319,82,5613
XML,22178,489,1214
Maven,13208,216,394
Properties File(s),9384,172,5216
Ant,5701,104,414
SQL,692,11,0
