application,total,ejb,jaxws,jaxrs,soap,json,jpa,jdbc,servlet,struts,jsf,session,jni,io,websphere,jndi
App4,4823,841,0,0,0,769,50,0,351,0,2,0,0,2808,0,2
App3,4459,116,0,0,0,13,213,0,1662,0,55,0,0,2400,0,0
App2,2216,909,0,0,0,52,7,0,433,0,807,0,0,8,0,0
App8,491,11,0,0,0,16,0,0,8,0,0,0,0,456,0,0
App1,183,20,0,0,0,3,0,0,160,0,0,0,0,0,0,0
App5,153,6,0,0,0,8,8,0,11,0,0,0,0,120,0,0
App7,62,14,0,0,0,0,0,0,0,0,0,0,0,48,0,0
App9,31,0,0,0,0,5,10,0,16,0,0,0,0,0,0,0
App6,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
