application,score,filename,line,rule,searchedfor,found,advice,category,fqn
App3,5,JavaMailMessageBean.java,86,java-message-driven-annotations,ActivationConfigProperty,"@ActivationConfigProperty(propertyName = ""protocol"", propertyValue = ""IMAP""),",To convert a message driven bean to spring cloud stream with rabbitmq,annotations,/Users/swoods/pvtl/demo/App3/connectors/mailconnector/mailconnector-mdb/src/main/java/samples/connectors/mailconnector/ejb/mdb/JavaMailMessageBean.java
App3,5,web.xml,46,xml-servlet-3-1,web-app_3_1.xsd,"xsi:schemaLocation=""http://xmlns.jcp.org/xml/ns/javaee web-app_3_1.xsd""",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App3/connectors/mailconnector/mailconnector-web/src/main/webapp/WEB-INF/web.xml
App3,5,JavaMailMessageBean.java,87,java-message-driven-annotations,ActivationConfigProperty,"@ActivationConfigProperty(propertyName = ""interval"", propertyValue = ""30"") })",To convert a message driven bean to spring cloud stream with rabbitmq,annotations,/Users/swoods/pvtl/demo/App3/connectors/mailconnector/mailconnector-mdb/src/main/java/samples/connectors/mailconnector/ejb/mdb/JavaMailMessageBean.java
App3,5,StatelessSession.java,45,java-transaction-annotations,Remote,@Remote,Distributed transcations are problematic and should be remediated or use TKG.effort,annotations,/Users/swoods/pvtl/demo/App3/ejb/hello-stateless-ejb/hello-stateless-ejb-bean/src/main/java/enterprise/hello_stateless_ejb/StatelessSession.java
App3,5,StatelessSessionBean.java,45,java-stateless-annotations,Stateless,@Stateless,Replace with the Spring annotation @Component or move to TKG,annotations,/Users/swoods/pvtl/demo/App3/ejb/hello-stateless-ejb/hello-stateless-ejb-bean/src/main/java/enterprise/hello_stateless_ejb/StatelessSessionBean.java
App3,5,StatelessSession.java,45,java-transaction-annotations,Remote,@Remote,Distributed transcations are problematic and should be remediated or use TKG.effort,annotations,/Users/swoods/pvtl/demo/App3/ejb/hello-stateless-ejb/hello-stateless-ejb-client/src/main/java/enterprise/hello_stateless_ejb/StatelessSession.java
App3,5,StatelessSession.java,48,java-transaction-annotations,Remote,@Remote,Distributed transcations are problematic and should be remediated or use TKG.effort,annotations,/Users/swoods/pvtl/demo/App3/ejb/automatic-timer/automatic-timer-client/src/main/java/enterprise/automatic_timer_ejb/StatelessSession.java
App3,5,JavaMailMessageBean.java,88,java-transaction-annotations,TransactionManagement,@TransactionManagement(TransactionManagementType.CONTAINER),Distributed transcations are problematic and should be remediated or use TKG.effort,annotations,/Users/swoods/pvtl/demo/App3/connectors/mailconnector/mailconnector-mdb/src/main/java/samples/connectors/mailconnector/ejb/mdb/JavaMailMessageBean.java
App3,5,JavaMailMessageBean.java,135,java-transaction-annotations,TransactionAttribute,@TransactionAttribute(TransactionAttributeType.REQUIRED),Distributed transcations are problematic and should be remediated or use TKG.effort,annotations,/Users/swoods/pvtl/demo/App3/connectors/mailconnector/mailconnector-mdb/src/main/java/samples/connectors/mailconnector/ejb/mdb/JavaMailMessageBean.java
App3,5,TestBean.java,49,java-stateless-annotations,Stateless,@Stateless,Replace with the Spring annotation @Component or move to TKG,annotations,/Users/swoods/pvtl/demo/App3/concurrency/executor/src/main/java/org/glassfish/executor/TestBean.java
App3,5,SimpleEjb.java,57,java-stateless-annotations,Stateless,@Stateless,Replace with the Spring annotation @Component or move to TKG,annotations,/Users/swoods/pvtl/demo/App3/ejb/ejb-embedded/ejb-embedded-server/src/main/java/ejb/embedded/SimpleEjb.java
