application,score,LOC,files
App7,8.01,1317,15
App5,7.03,1737,30
App6,6.73,834,62
App8,6.4,23512,172
App9,6.4,86873,668
App1,5.98,14293,238
App2,5.77,41001,547
App3,5.66,38102,640
App4,5.63,40776,710
